latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-31.29129,-64.42702,296.6,0.6,0.4,2017-09-01,05:42,N,nominal,1.0NRT,280.7,2,N
-31.29203,-64.42059,342.6,0.6,0.4,2017-09-01,05:42,N,nominal,1.0NRT,304.8,38.2,N
-31.29065,-64.43253,323.8,0.5,0.4,2017-09-01,05:42,N,nominal,1.0NRT,282.1,2,N
-31.28668,-64.43201,299.8,0.5,0.4,2017-09-01,05:42,N,nominal,1.0NRT,281.3,37.7,N
-31.28806,-64.42003,332.3,0.6,0.4,2017-09-01,05:42,N,nominal,1.0NRT,285.8,6.6,N
-31.28732,-64.4264,344.1,0.6,0.4,2017-09-01,05:42,N,nominal,1.0NRT,301.4,37.7,N
-31.28336,-64.42585,344.6,0.6,0.4,2017-09-01,05:42,N,nominal,1.0NRT,286,37.7,N
-29.79325,-62.8952,304.7,0.4,0.5,2017-09-01,05:42,N,nominal,1.0NRT,282.3,0.8,N
-29.79279,-62.89968,301.3,0.4,0.5,2017-09-01,05:42,N,nominal,1.0NRT,281.6,0.8,N
-29.78991,-62.89698,304.5,0.4,0.5,2017-09-01,05:42,N,nominal,1.0NRT,282,1.5,N
-29.78942,-62.90146,313.8,0.4,0.5,2017-09-01,05:42,N,nominal,1.0NRT,281.5,1.5,N
-29.78615,-62.8919,302.1,0.4,0.5,2017-09-01,05:42,N,nominal,1.0NRT,281.6,1.2,N
-28.46309,-68.52879,295.4,0.4,0.4,2017-09-01,05:42,N,nominal,1.0NRT,267.2,1.9,N
-28.46037,-68.52424,329.8,0.4,0.4,2017-09-01,05:42,N,nominal,1.0NRT,270.5,1.9,N
-29.21716,-62.37825,310.8,0.4,0.5,2017-09-01,05:42,N,nominal,1.0NRT,280.5,1.1,N
-29.21631,-62.37982,306.4,0.4,0.5,2017-09-01,05:42,N,nominal,1.0NRT,280.8,1.5,N
-28.41722,-67.78999,300.2,0.4,0.4,2017-09-01,05:42,N,nominal,1.0NRT,264.5,1.3,N
-28.40186,-67.80032,301.3,0.4,0.4,2017-09-01,05:42,N,nominal,1.0NRT,258.5,1.1,N
-29.03833,-61.14273,305.8,0.5,0.5,2017-09-01,05:42,N,nominal,1.0NRT,258.9,0.9,N
-27.41144,-64.90258,305.6,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,278.9,0.8,N
-27.40775,-64.90199,297.1,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,278.8,0.8,N
-27.28699,-65.63995,301.3,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,279.2,0.7,N
-27.50208,-61.69661,298.3,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,281.5,1,N
-26.43631,-69.47906,298.6,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,279.1,4.3,N
-26.43296,-69.47842,342.5,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,280.4,4.3,N
-26.83656,-65.32816,300.5,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,281.8,0.6,N
-27.35614,-60.55267,296.1,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,285.3,1.2,N
-26.92109,-60.81655,305.7,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,285.3,1.4,N
-26.56855,-61.34373,297.5,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,284.9,0.9,N
-26.56407,-61.34313,323.4,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,287,3.2,N
-26.56356,-61.34804,322.8,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,286.9,3.2,N
-26.56677,-61.3407,296.3,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,285.1,0.8,N
-26.56623,-61.3456,318.2,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,286,1.8,N
-26.56569,-61.3505,304.4,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,285.2,1.8,N
-26.56229,-61.34011,298.5,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,285.2,0.8,N
-26.56175,-61.34501,311.9,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,286.1,1.8,N
-26.56121,-61.34991,310.2,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,285.8,1.8,N
-26.35586,-62.3686,296,0.4,0.5,2017-09-01,05:36,N,nominal,1.0NRT,283.6,0.8,N
-26.35214,-62.36376,304.8,0.4,0.5,2017-09-01,05:36,N,nominal,1.0NRT,283.1,2.2,N
-26.34842,-62.35891,296.3,0.4,0.5,2017-09-01,05:36,N,nominal,1.0NRT,282.2,1.2,N
-26.18145,-62.4371,297,0.4,0.5,2017-09-01,05:36,N,nominal,1.0NRT,284.4,1.2,N
-17.93537,-62.57198,355.7,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,297.6,7,N
-18.39424,-59.00697,331.4,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,292.8,3.7,N
-18.39363,-59.01206,330.9,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,292.9,5.3,N
-18.39302,-59.01714,320.5,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,291.4,5.3,N
-2.81635,-79.46604,298.5,0.4,0.6,2017-09-01,07:12,N,nominal,1.0NRT,280.4,0.8,N
-2.81101,-79.46603,306.9,0.4,0.6,2017-09-01,07:12,N,nominal,1.0NRT,281.1,0.8,N
3.5634,-76.49028,307,0.4,0.6,2017-09-01,07:12,N,nominal,1.0NRT,288.9,1.5,N
5.43976,-72.45502,303.2,0.8,0.8,2017-09-01,07:12,N,nominal,1.0NRT,284.5,1.1,N
5.44707,-72.45464,296.6,0.8,0.8,2017-09-01,07:12,N,nominal,1.0NRT,284.8,1.1,N
5.77698,-72.88035,302.1,0.7,0.8,2017-09-01,07:12,N,nominal,1.0NRT,277.2,2.8,N
7.88864,-72.57006,301.8,0.7,0.8,2017-09-01,07:12,N,nominal,1.0NRT,286.4,1.4,N
7.88984,-72.57638,305.2,0.7,0.8,2017-09-01,07:12,N,nominal,1.0NRT,286.6,1.9,N
9.16805,-79.53609,311.8,0.4,0.5,2017-09-01,07:12,N,nominal,1.0NRT,290.7,1.8,N
9.96857,-84.15578,302.3,0.4,0.4,2017-09-01,07:12,N,nominal,1.0NRT,288.6,0.4,N
7.89048,-72.57631,306.3,0.7,0.8,2017-09-01,07:12,N,nominal,1.0NRT,286.9,2,N
10.20041,-85.18076,304.9,0.4,0.4,2017-09-01,07:12,N,nominal,1.0NRT,290.7,0.4,N
10.01692,-83.76631,299.8,0.4,0.4,2017-09-01,07:12,N,nominal,1.0NRT,274.2,1.3,N
10.0203,-83.76584,318.3,0.4,0.4,2017-09-01,07:12,N,nominal,1.0NRT,276.4,1.3,N
11.98158,-86.17039,296.5,0.4,0.4,2017-09-01,07:12,N,nominal,1.0NRT,273.4,0,N
11.98438,-86.1662,296.5,0.4,0.4,2017-09-01,07:12,N,nominal,1.0NRT,268.2,0.5,N
11.98493,-86.16984,303.2,0.4,0.4,2017-09-01,07:12,N,nominal,1.0NRT,267.7,0,N
11.9855,-86.17352,295.9,0.4,0.4,2017-09-01,07:12,N,nominal,1.0NRT,275,0,N
10.31812,-75.48669,302.5,0.4,0.6,2017-09-01,07:12,N,nominal,1.0NRT,283.3,1.1,N
12.60651,-86.83996,309.4,0.4,0.4,2017-09-01,07:12,N,nominal,1.0NRT,268.7,1.3,N
11.00045,-72.70985,308.2,0.6,0.7,2017-09-01,07:12,N,nominal,1.0NRT,283.5,2.9,N
11.02709,-72.70896,299.1,0.6,0.7,2017-09-01,07:12,N,nominal,1.0NRT,279.8,1.8,N
11.04854,-72.71579,306.7,0.6,0.7,2017-09-01,07:12,N,nominal,1.0NRT,287.3,2.7,N
11.04799,-72.71545,308.2,0.6,0.7,2017-09-01,07:12,N,nominal,1.0NRT,287.5,3,N
11.1213,-72.57893,319.1,0.6,0.7,2017-09-01,07:12,N,nominal,1.0NRT,287.4,6.5,N
11.12089,-72.57819,318.8,0.6,0.7,2017-09-01,07:12,N,nominal,1.0NRT,287.4,2.6,N
11.12734,-72.57674,306.4,0.6,0.7,2017-09-01,07:12,N,nominal,1.0NRT,287.2,2.6,N
11.14109,-72.54492,305.2,0.6,0.7,2017-09-01,07:12,N,nominal,1.0NRT,286.4,2.8,N
-18.38955,-59.00638,326.4,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,291.9,3.7,N
-18.38895,-59.01146,342.9,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,294.3,5.3,N
-18.38833,-59.01654,325.6,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,291.8,5.3,N
-18.02394,-61.84155,314.1,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,289.9,3.7,N
-17.92677,-62.55182,300.9,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,290.1,0.7,N
-52.72023,-69.3525,317.9,0.4,0.4,2017-09-01,05:48,N,nominal,1.0NRT,270.4,1.8,N
-38.54835,-69.29754,300.9,0.4,0.4,2017-09-01,05:42,N,nominal,1.0NRT,278.7,0.7,N
-38.12246,-70.75325,328.7,0.4,0.4,2017-09-01,05:42,N,nominal,1.0NRT,278.5,2.7,N
-38.09767,-68.74458,295.2,0.4,0.4,2017-09-01,05:42,N,nominal,1.0NRT,274.3,0.5,N
-38.05144,-68.85447,308.2,0.4,0.4,2017-09-01,05:42,N,nominal,1.0NRT,271.3,1.1,N
-37.39478,-68.83023,305.7,0.4,0.4,2017-09-01,05:42,N,nominal,1.0NRT,272.3,0.4,N
-37.32371,-68.9338,296.6,0.4,0.4,2017-09-01,05:42,N,nominal,1.0NRT,271.2,0.9,N
-36.95467,-69.37904,310.8,0.4,0.4,2017-09-01,05:42,N,nominal,1.0NRT,274.4,1,N
-36.89597,-66.28641,302.7,0.5,0.4,2017-09-01,05:42,N,nominal,1.0NRT,279.4,3.4,N
-36.89212,-66.28572,341.2,0.5,0.4,2017-09-01,05:42,N,nominal,1.0NRT,282.6,3.4,N
-36.89147,-66.29163,322.2,0.5,0.4,2017-09-01,05:42,N,nominal,1.0NRT,280.7,3.4,N
-36.88761,-66.29094,303.4,0.5,0.4,2017-09-01,05:42,N,nominal,1.0NRT,279.9,5.7,N
-36.88826,-66.28504,345.5,0.5,0.4,2017-09-01,05:42,N,nominal,1.0NRT,284.1,5.7,N
-36.89515,-66.28564,320.2,0.5,0.4,2017-09-01,05:42,N,nominal,1.0NRT,280,2.5,N
-36.8913,-66.28497,334.8,0.5,0.4,2017-09-01,05:42,N,nominal,1.0NRT,281.8,4.8,N
-36.89062,-66.29086,325.9,0.5,0.4,2017-09-01,05:42,N,nominal,1.0NRT,281.2,4.7,N
-36.88744,-66.28428,338.8,0.5,0.4,2017-09-01,05:42,N,nominal,1.0NRT,281.4,4.8,N
-36.88676,-66.29018,322.5,0.5,0.4,2017-09-01,05:42,N,nominal,1.0NRT,280.5,4.7,N
-34.10871,-70.45641,325.2,0.4,0.4,2017-09-01,05:42,N,nominal,1.0NRT,277.9,6.7,N
-34.10539,-70.45567,333.2,0.4,0.4,2017-09-01,05:42,N,nominal,1.0NRT,283.3,6.7,N
-33.76917,-70.85473,300.9,0.4,0.4,2017-09-01,05:42,N,nominal,1.0NRT,279.6,0.8,N
-33.29739,-70.72697,306.7,0.4,0.4,2017-09-01,05:42,N,nominal,1.0NRT,279.5,1.2,N
-33.29406,-70.72621,306.2,0.4,0.4,2017-09-01,05:42,N,nominal,1.0NRT,281.1,0.9,N
-34.26671,-62.73427,303,0.5,0.5,2017-09-01,05:42,N,nominal,1.0NRT,282.6,0.9,N
-34.26612,-62.73326,308,0.5,0.5,2017-09-01,05:42,N,nominal,1.0NRT,282.7,1.2,N
-32.80251,-70.95509,307.6,0.4,0.4,2017-09-01,05:42,N,nominal,1.0NRT,282.7,2,N
-32.80319,-70.95093,322.4,0.4,0.4,2017-09-01,05:42,N,nominal,1.0NRT,283,1.7,N
-32.73756,-68.84478,307.3,0.4,0.4,2017-09-01,05:42,N,nominal,1.0NRT,282.8,1,N
-33.37884,-60.14524,307.4,0.3,0.6,2017-09-01,05:42,N,nominal,1.0NRT,283.8,1.1,N
-33.37856,-60.14895,301.9,0.3,0.6,2017-09-01,05:42,N,nominal,1.0NRT,283.8,1.4,N
-33.37252,-60.15948,297.1,0.3,0.6,2017-09-01,05:42,N,nominal,1.0NRT,284.1,0.5,N
-33.36812,-60.14779,297.6,0.3,0.6,2017-09-01,05:42,N,nominal,1.0NRT,284.5,0.9,N
-33.36731,-60.15889,310.5,0.3,0.6,2017-09-01,05:42,N,nominal,1.0NRT,284.2,2.2,N
-33.36704,-60.16255,325.9,0.3,0.6,2017-09-01,05:42,N,nominal,1.0NRT,284.6,2.7,N
-33.3629,-60.14714,301.5,0.3,0.6,2017-09-01,05:42,N,nominal,1.0NRT,285.5,0.9,N
-33.25811,-60.28881,302,0.3,0.6,2017-09-01,05:42,N,nominal,1.0NRT,283.5,2.1,N
-33.25867,-60.28144,322.8,0.3,0.6,2017-09-01,05:42,N,nominal,1.0NRT,284,1.8,N
-33.25839,-60.28513,330.8,0.3,0.6,2017-09-01,05:42,N,nominal,1.0NRT,284.7,2.1,N
-31.41968,-66.53341,322.2,0.4,0.4,2017-09-01,05:42,N,nominal,1.0NRT,283.2,2.2,N
-31.31182,-64.42384,296.5,0.6,0.4,2017-09-01,05:42,N,nominal,1.0NRT,281,137.3,N
-31.29921,-64.42824,336.6,0.6,0.4,2017-09-01,05:42,N,nominal,1.0NRT,287.2,7.3,N
-31.29674,-64.4147,299,0.6,0.4,2017-09-01,05:42,N,nominal,1.0NRT,283.9,38.2,N
-31.29524,-64.4277,305.5,0.6,0.4,2017-09-01,05:42,N,nominal,1.0NRT,281.2,2,N
-31.29462,-64.43303,305.6,0.5,0.4,2017-09-01,05:42,N,nominal,1.0NRT,281.4,2,N
-31.29598,-64.42126,332.8,0.6,0.4,2017-09-01,05:42,N,nominal,1.0NRT,298.2,38.2,N
-31.29277,-64.41418,296.6,0.6,0.4,2017-09-01,05:42,N,nominal,1.0NRT,282.5,38.2,N
-31.30713,-64.42942,298,0.6,0.4,2017-09-01,05:42,N,nominal,1.0NRT,280.7,2.4,N
-31.30785,-64.42332,346.8,0.6,0.4,2017-09-01,05:42,N,nominal,1.0NRT,326.6,137.3,N
-31.30387,-64.4228,345.7,0.6,0.4,2017-09-01,05:42,N,nominal,1.0NRT,319.5,59.9,N
-31.30318,-64.42876,329.4,0.6,0.4,2017-09-01,05:42,N,nominal,1.0NRT,283.5,7.3,N
-31.30067,-64.41558,302.4,0.6,0.4,2017-09-01,05:42,N,nominal,1.0NRT,283.2,59.9,N
-31.29859,-64.43356,296.2,0.5,0.4,2017-09-01,05:42,N,nominal,1.0NRT,281.7,7.3,N
-31.29993,-64.42203,347.2,0.6,0.4,2017-09-01,05:42,N,nominal,1.0NRT,290.3,59.9,N
-18.02326,-61.8466,335.8,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,291.4,3.7,N
-18.02258,-61.85165,324.5,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,290.5,3.9,N
-18.00939,-61.89081,304.2,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,290.5,0.9,N
-18.00871,-61.89584,300.6,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,290,0.9,N
-17.91106,-62.41621,311.3,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,292,2.5,N
-17.91043,-62.42089,320.3,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,292.4,5.4,N
-17.90979,-62.42559,345.2,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,292.4,5.4,N
-18.33803,-58.99976,301.7,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,288.4,1.9,N
-18.33453,-58.989,300.1,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,289.6,1.1,N
-18.33393,-58.99408,317.5,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,289.9,1.9,N
-18.32925,-58.99348,303,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,290.3,1.3,N
-18.32867,-58.99855,300.2,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,289.8,1.3,N
-18.09007,-60.9645,307.5,0.4,0.5,2017-09-01,05:36,N,nominal,1.0NRT,289.5,0.7,N
-18.08597,-60.96391,304.1,0.4,0.5,2017-09-01,05:36,N,nominal,1.0NRT,289.5,0.7,N
-17.82326,-62.5756,300.5,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,288.7,1.6,N
-17.82018,-62.57045,310.3,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,290.1,1.6,N
-17.81954,-62.57504,323.4,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,291.7,1.6,N
-17.81647,-62.56988,305.8,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,290.3,1.8,N
-18.15409,-59.41928,304.1,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,289.2,1,N
-17.95789,-60.99615,305.1,0.4,0.5,2017-09-01,05:36,N,nominal,1.0NRT,289.8,1.7,N
-17.95694,-61.0037,310.9,0.4,0.5,2017-09-01,05:36,N,nominal,1.0NRT,290.4,1.4,N
-17.95286,-61.00304,313.1,0.4,0.5,2017-09-01,05:36,N,nominal,1.0NRT,292,1.7,N
-17.95381,-60.9955,329.3,0.4,0.5,2017-09-01,05:36,N,nominal,1.0NRT,292.7,3,N
-17.95334,-60.99928,329.9,0.4,0.5,2017-09-01,05:36,N,nominal,1.0NRT,293.2,3,N
-17.95391,-61.00439,318.7,0.4,0.5,2017-09-01,05:36,N,nominal,1.0NRT,291.5,2.3,N
-17.67405,-63.03053,300.6,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,289.2,0.3,N
-17.65869,-62.9297,301.2,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,290.8,1.2,N
-17.65443,-62.93353,311.1,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,291.4,1.8,N
-17.83432,-61.28793,300.9,0.6,0.4,2017-09-01,05:36,N,nominal,1.0NRT,289.6,1.2,N
-17.9181,-60.63119,320.6,0.4,0.5,2017-09-01,05:36,N,nominal,1.0NRT,290,1.8,N
-17.83032,-61.28735,300.7,0.6,0.4,2017-09-01,05:36,N,nominal,1.0NRT,290.3,1.2,N
-16.64554,-68.31899,303.5,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,277,1.4,N
-17.36458,-63.55561,309.7,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,289.5,1.5,N
-17.70248,-60.97003,367,0.4,0.5,2017-09-01,05:36,N,nominal,1.0NRT,296.1,5.1,N
-18.32364,-55.57964,317.7,0.4,0.6,2017-09-01,05:36,N,nominal,1.0NRT,290.5,3.1,N
-17.6984,-60.96946,310.5,0.4,0.5,2017-09-01,05:36,N,nominal,1.0NRT,292.4,5.1,N
-17.27504,-64.02221,305.8,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,288.6,1,N
-17.59246,-61.70901,330.4,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,292.8,5.9,N
-18.40129,-54.4688,303,0.5,0.7,2017-09-01,05:36,N,nominal,1.0NRT,290.7,1.8,N
-17.66579,-60.96479,301.8,0.4,0.5,2017-09-01,05:36,N,nominal,1.0NRT,288.9,1,N
-17.66123,-60.96795,311.6,0.4,0.5,2017-09-01,05:36,N,nominal,1.0NRT,290.4,2.7,N
-17.33583,-63.37774,303.6,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,289.8,0.7,N
-17.33524,-63.38191,299.8,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,289.4,0.7,N
-17.66171,-60.9642,335.2,0.4,0.5,2017-09-01,05:36,N,nominal,1.0NRT,294.3,2.7,N
-17.40008,-62.89414,299.4,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,289.4,1.2,N
-17.81586,-59.69011,342.5,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,295.5,13.4,N
-17.81532,-59.69462,330.9,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,290.2,13.4,N
-17.81577,-59.65334,342.5,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,293.6,13.8,N
-17.81142,-59.68953,338.9,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,292.6,5,N
-17.81088,-59.69404,326.5,0.5,0.5,2017-09-01,05:36,N,nominal,1.0NRT,290.4,5,N
-17.63099,-61.10714,322.9,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,290.6,1.7,N
-17.72849,-60.29797,303.7,0.4,0.5,2017-09-01,05:36,N,nominal,1.0NRT,289.8,1.4,N
-17.62696,-61.10656,300.3,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,290,0.5,N
-17.36321,-63.05281,303,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,290.3,0.9,N
-17.62356,-61.06857,332.5,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,292.9,3.4,N
-17.61951,-61.06799,335.6,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,293.6,3.4,N
-17.61905,-61.07167,338.7,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,295.4,4.3,N
-17.61858,-61.07535,324.5,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,291.8,4.3,N
-17.54797,-61.62445,327.8,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,290.5,4.3,N
-17.5473,-61.62957,350,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,293.9,13.7,N
-17.54406,-61.62387,324.3,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,291.6,3.5,N
-17.5434,-61.629,346.6,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,294.8,10.4,N
-17.62333,-61.06824,331,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,293,2.7,N
-17.54757,-61.62708,346.2,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,294.5,10.9,N
-17.54687,-61.6322,326.5,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,290.5,5.1,N
-17.61928,-61.06767,330.3,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,292.8,2.7,N
-17.61879,-61.07135,338.3,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,295.1,4.7,N
-17.6183,-61.07503,328.9,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,292.9,4.7,N
-17.54367,-61.62651,346.3,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,295.2,10.9,N
-17.54297,-61.63163,326.3,0.5,0.4,2017-09-01,05:36,N,nominal,1.0NRT,291.4,5.1,N
-17.60934,-61.11118,309.1,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,289.5,3,N
-17.60836,-61.1185,316.1,0.4,0.4,2017-09-01,05:36,N,nominal,1.0NRT,290,2.9,N
