latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-15.93559,-60.83206,351.9,0.8,0.8,2017-08-30,06:12,N,nominal,1.0NRT,291.9,11.7,N
-15.85183,-60.77562,301.9,0.8,0.8,2017-08-30,06:12,N,nominal,1.0NRT,290.6,2.3,N
-15.77166,-61.65353,317.3,0.7,0.8,2017-08-30,06:12,N,nominal,1.0NRT,292.8,3.6,N
-15.77104,-61.66013,329.2,0.7,0.8,2017-08-30,06:12,N,nominal,1.0NRT,293.3,3.6,N
-15.84379,-60.78261,305.1,0.8,0.8,2017-08-30,06:12,N,nominal,1.0NRT,290.9,4.1,N
-15.76454,-61.65406,311.9,0.7,0.8,2017-08-30,06:12,N,nominal,1.0NRT,294,3.6,N
-15.76399,-61.66002,316.3,0.7,0.8,2017-08-30,06:12,N,nominal,1.0NRT,293.5,3.6,N
-15.76341,-61.66621,305.7,0.7,0.8,2017-08-30,06:12,N,nominal,1.0NRT,292.9,5.9,N
-15.84449,-60.77464,321.4,0.8,0.8,2017-08-30,06:12,N,nominal,1.0NRT,291.5,2.3,N
-15.83646,-60.78164,316.3,0.8,0.8,2017-08-30,06:12,N,nominal,1.0NRT,291.2,7.4,N
-15.83713,-60.77406,323.7,0.8,0.8,2017-08-30,06:12,N,nominal,1.0NRT,291.9,6.2,N
-15.77314,-61.66134,319.6,0.7,0.8,2017-08-30,06:12,N,nominal,1.0NRT,292.6,3.3,N
-15.85222,-60.77822,300.9,0.8,0.8,2017-08-30,06:12,N,nominal,1.0NRT,290.4,3,N
-15.76609,-61.66115,315.9,0.7,0.8,2017-08-30,06:12,N,nominal,1.0NRT,293.1,3.1,N
-15.76546,-61.6675,302.4,0.7,0.8,2017-08-30,06:12,N,nominal,1.0NRT,292.2,3.1,N
-15.76671,-61.655,331.6,0.7,0.8,2017-08-30,06:12,N,nominal,1.0NRT,294.1,8.1,N
-15.75907,-61.66072,306,0.7,0.8,2017-08-30,06:12,N,nominal,1.0NRT,294.3,3.1,N
-15.84489,-60.77721,320.1,0.8,0.8,2017-08-30,06:12,N,nominal,1.0NRT,291.3,3,N
-15.8368,-60.78429,311.2,0.8,0.8,2017-08-30,06:12,N,nominal,1.0NRT,290.9,4.9,N
-15.83754,-60.77647,327.8,0.8,0.8,2017-08-30,06:12,N,nominal,1.0NRT,291.8,4.9,N
-15.47219,-63.51582,304.9,0.5,0.7,2017-08-30,06:12,N,nominal,1.0NRT,292.1,2.2,N
-13.78453,-76.16801,298.2,0.4,0.4,2017-08-30,06:12,N,nominal,1.0NRT,287.6,1.1,N
-10.92322,-68.43281,320.1,0.4,0.5,2017-08-30,06:12,N,nominal,1.0NRT,292.8,2.6,N
-10.75717,-69.39409,305.3,0.6,0.4,2017-08-30,06:12,N,nominal,1.0NRT,288.9,1.2,N
-10.75246,-69.39865,301.9,0.6,0.4,2017-08-30,06:12,N,nominal,1.0NRT,288.1,0.8,N
-10.83776,-68.26466,303.9,0.4,0.5,2017-08-30,06:12,N,nominal,1.0NRT,291.5,0.7,N
-10.77237,-68.7503,312,0.4,0.5,2017-08-30,06:12,N,nominal,1.0NRT,290,1.3,N
-10.77028,-68.75074,322.6,0.4,0.5,2017-08-30,06:12,N,nominal,1.0NRT,290.3,1.3,N
-10.76614,-68.75011,302.4,0.4,0.5,2017-08-30,06:12,N,nominal,1.0NRT,289.2,1.3,N
-10.75038,-68.80153,310.9,0.4,0.5,2017-08-30,06:12,N,nominal,1.0NRT,289.6,1.1,N
-10.82116,-68.23878,303.4,0.4,0.5,2017-08-30,06:12,N,nominal,1.0NRT,291.5,1.6,N
-10.81687,-68.23817,303.2,0.4,0.5,2017-08-30,06:12,N,nominal,1.0NRT,291.3,1,N
-10.79952,-68.26873,312.3,0.4,0.5,2017-08-30,06:12,N,nominal,1.0NRT,291.5,1.4,N
-10.79895,-68.27279,312,0.4,0.5,2017-08-30,06:12,N,nominal,1.0NRT,291.9,1.4,N
-10.79839,-68.27683,304.3,0.4,0.5,2017-08-30,06:12,N,nominal,1.0NRT,291.8,1.1,N
-10.65686,-68.73518,301.1,0.4,0.5,2017-08-30,06:12,N,nominal,1.0NRT,286.7,0.6,N
-10.63409,-68.86537,309.3,0.4,0.5,2017-08-30,06:12,N,nominal,1.0NRT,287.9,1.1,N
-10.62641,-68.86047,305.8,0.4,0.5,2017-08-30,06:12,N,nominal,1.0NRT,287.9,1.1,N
-10.62231,-68.85984,303,0.4,0.5,2017-08-30,06:12,N,nominal,1.0NRT,287.8,0.7,N
-11.58498,-61.34487,300.9,0.7,0.7,2017-08-30,06:12,N,nominal,1.0NRT,289.3,1.8,N
-11.57817,-61.34404,303,0.7,0.7,2017-08-30,06:12,N,nominal,1.0NRT,289,1.4,N
-10.39063,-67.63221,305.6,0.5,0.5,2017-08-30,06:12,N,nominal,1.0NRT,289.5,0.8,N
-10.39005,-67.63657,303.2,0.5,0.5,2017-08-30,06:12,N,nominal,1.0NRT,289.5,0.8,N
