latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-2.52128,-49.05133,367,0.3,0.6,2017-08-28,16:06,N,nominal,1.0NRT,295.3,10.3,D
-2.52133,-49.05148,347.9,0.4,0.6,2017-08-28,16:06,N,nominal,1.0NRT,295.1,9.6,D
-2.52087,-49.04831,352,0.3,0.6,2017-08-28,16:06,N,nominal,1.0NRT,295.3,13.2,D
-2.52752,-48.94725,348.6,0.3,0.6,2017-08-28,16:06,N,nominal,1.0NRT,294.2,14,D
-5.72624,-49.19352,351.4,0.4,0.6,2017-08-28,16:06,N,nominal,1.0NRT,297.5,26.1,D
-5.72574,-49.18982,353.3,0.4,0.6,2017-08-28,16:06,N,nominal,1.0NRT,298.3,58.1,D
-5.72475,-49.18242,351.2,0.4,0.6,2017-08-28,16:06,N,nominal,1.0NRT,301,82.4,D
-5.72426,-49.17872,350.5,0.4,0.6,2017-08-28,16:06,N,nominal,1.0NRT,292.9,82.4,D
-5.7318,-49.19275,332.1,0.4,0.6,2017-08-28,16:06,N,nominal,1.0NRT,289.4,4.8,D
-5.73081,-49.18539,334.8,0.4,0.6,2017-08-28,16:06,N,nominal,1.0NRT,288.2,9,D
-5.73031,-49.18169,356.3,0.4,0.6,2017-08-28,16:06,N,nominal,1.0NRT,289.5,13.4,D
-5.72982,-49.17801,345.1,0.4,0.6,2017-08-28,16:06,N,nominal,1.0NRT,287.5,13.4,D
-6.28325,-52.91256,334.8,0.7,0.8,2017-08-28,16:06,N,nominal,1.0NRT,293.3,8.1,D
-6.28235,-52.90572,356.7,0.7,0.8,2017-08-28,16:06,N,nominal,1.0NRT,293.9,8.1,D
-5.54283,-47.47078,335.5,0.6,0.5,2017-08-28,16:06,N,nominal,1.0NRT,301.6,8.4,D
-5.33443,-45.93954,340.4,0.5,0.5,2017-08-28,16:06,N,nominal,1.0NRT,301.3,5.1,D
-5.33381,-45.9352,351,0.5,0.5,2017-08-28,16:06,N,nominal,1.0NRT,305,19,D
